id_seller,username,nama_toko,level_toko,premium_toko,id_produk,nama_produk,kategori,kondisi,rating,jumlah_rating,stok,jumlah_interest,jumlah_sold,jumlah_view,harga,harga_asli,diskon,deskripsi
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4hkfnbd,Masker N95 1 kotak isi 10 pcs,Alat Bantu Kesehatan,Baru,0,0,28,0,0,0,26250,35000,25,"<p>Masker N95, 1 kotak isi 10 pcs 5 Ply Earloop<br>Warna putih<br>Harga diatas untuk 1 kotak isi 10 pcs</p><p>N95 Premium Face Mask Adalah masker pelindung terbaik dengan kinerja penyaringan yang efektif.Masker ini dirancang dengan 5 lapaisan kain non_woven kepadatan tinggi untuk membantu melindungi pemakainya dari beberapa zat berbahaya saat bernafas untuk waktu yang lama.<br>Efisiensi penyaringan 5 lapisan bahan akan membantu menghalangi polutan udara PM2,5 seperti alergen,virus,bakteri,debu,tetesan dan partikel berbahaya berbasis non- minyak lainnya di udara yang lebih besar dari 0.2 mikron,setidaknya hingga 99%.<br>Didesain dengan bahan ekstra ringan dan fleksibel dengan kawat hidung yang dapat disesuaikan dengan bentuk wajah agar pas dan nyaman sehingga mengurangi iritasi kulit serta tali pengait telinga yang dapat direnggangkan memamstikan kenyamanan dalam waktu yang lama.</p><p>KEMENKES RI No:<br>FR.03.02/VA/10627/2020</p><p>Best Before:<br>DES 2025</p>"
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4hk5d6j,Masker Elegant  KF-94 Mask | Korean Mask KF-94 Premium Isi 10 Pcs | Masker 4,Masker & Pelindung Wajah,Baru,0,0,86,0,0,0,10000,11300,12,"<p>Elegant KF-94 Mask adalah masker pelindung terbaik dengan kinerja penyaringannya yang efektif. masker ini dirancang dengan 4 lapisan kain non-woven kepadatan tinggi untuk membantu melindungi pemakainya saat bernafas dari polutan udara seperti alergen, asap, debu, tetesan dan partikel berbahaya berbasis non-minyak lainnya di udara untuk waktu yang lama.</p><p>Didesain dengan bentuk 3D dari bahan ekstra ringan dan fleksibel dengan kawat hidung yang dapat disesuaikan dengan bentuk wajah agar pas dan nyaman, sehingga mengurangi iritasi kulit.</p><p>Type : Masker 94<br>Warna : Putih, Mix Color<br>Isi : 1 Pax isi10 Pcs</p>"
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4hd7687,Tas Kantong Cuci Pakaian Jaring-jaring / Kantong Cucian Kotor,Laundry Bag,Baru,5,2,276,3,3,0,59500,62000,4,"<p>Tas Kantong Cuci Pakaian Jaring-jaring Set 5pcs</p><ul><li>Bisa juga beli satuan sesuai ukuran dan 1 set isi 5Pcs</li><li>Pilihan Warna: Blue dan Orange</li></ul><p>Ukuran:<br>Besar - 50x60cm<br>Sedang - 40x50cm<br>Kecil - 30x40cm<br>Kantong Bra - 15x17cm<br>Silinder - 22x34cm<br>Berat: 210g<br>Bahan: Poliester</p><p>Tas/kantong cuci pakaian untuk mesin cuci, 2-in-1 mencuci dan melindungi pakaian, mencegah pakaian supaya tidak berubah bentuk, pakaian lama tetap nampak seperti baru</p><ol><li><p>Tas jaring-jaring permeabel - air mudah mengalir, pencucian lebih lancar dan pakaian lebih bersih</p></li><li><p>Ritsleting ketat - ritsleting pilihan berkualitas sampai ke detailnya</p></li><li><p>Desain dapat digantung, mudah disimpan</p></li><li><p>Cepat kering - setelah dikeluarkan dari mesin cuci, tas kantong pakaian langsung kering</p></li></ol>"
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4h4gjbg,Masker Medis Hijab - Merk Naturvard Premium Face Mask Headloop,Masker Kesehatan,Baru,5,1,40,0,2,0,16500,18500,11,"<p>Masker 3 ply Earloop merk NATURVARD isi 50 pcs per kotak </p><p>masker Headloop, cocok digunakan ketika memakai hijab</p><p>Masker Kesehatan dengan spesifikasi bahan sesuai dengan anjuran Kemenkes<br>Sudah mendapatkan izin produksi dan distribusi dari Kementrian Kesehatan RI.</p><p>Masker wajah deluxe 3ply sekali pakai aman dipakai untuk mencegah virus covid 19<br>Deluxe 3 ply Disposable mask,dengan 3 filter melindungi dari partikel mikro dan debu..<br>Warna : </p><ul><li>Putih</li><li>Biru</li></ul>"
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4h3zq2m,Blazer By Nature de fashion,"Bolero, Cardigan",Baru,0,0,25,0,0,0,140000,200000,30,"MELIA OUTER BLAZER,BY NATURE DE FASHION<br><br/>Selama produk masih tampil tayang berarti produk ready stok,silahkan langsung belanja<br><br/>Bahan asli garmen dan nyaman dipakai<br><br/>Foto kami asli bukan nyuci dari internet<br><br/>Toko kami penjual pertama dan brand kami pakai brand sendiri jadi aman kalau beli buat dijual kembali<br><br/><br><br/>Blazer dengan 5 varian warna<br><br/>-Putih <br><br/>-Cream<br><br/>-merah muda<br><br/>-Biru muda<br><br/>-Navi<br><br/><br><br/><br><br/>Dengan ukuran<br><br/>-Lingkar dada=98cm<br><br/>-Panjang baju=59cm<br><br/>-Panjang tangan=54cm<br><br/>-Panjang pundah=11cm<br><br/>-lingkar ketiak=48cm<br><br/>-All size<br><br/><br><br/><br><br/>Cocok buat ngantor,meeting,kuliah Bisa juga buat shopping <br><br/><br><br/>Silahkan mampir dan cek out kakak"
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4gwdrup,Blazer Semi Formal Melia Outer All size,"Bolero, Cardigan",Baru,0,0,5,5,0,0,97500,150000,35,"<p>Blazer Semi Formal ''Melia Outher''<br>Selama produk masih tayang berarti produk masih ready stok,silahkan langsung belanja<br>Bahan asli garmen jadi halus dan nyaman dipakai buat kerja dan shopping <br>Foto asli,bukan hasil curian dari internet<br>Toko kami penjual pertama dan brand kami pakai brand kami sendiri jadi aman kalau beli dan mau dijual kembali</p><p>LD:100cm<br>Pinggang: 94cm<br>Panjang Baju: 63cm<br>Panjang Tangan :53cm<br>Panjang Pundak : 14cm</p>"
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4gwdrfp,Mini Pot Kotak Merica - Storage anyaman sintesis 3set,Home Stuff,Baru,0,0,1,0,0,0,70000,75000,7,"<p>Mini Pot Kotak Merica / Storage anyaman sintesis 3set</p><p>Ukuran (PxLxT) = 16x14x13cm , 15x13x11cm , 12x11x10cm</p>"
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4gwdmsj,Talenan Kayu Jati Premium Model Kunci,Peralatan Masak Lainnya,Baru,0,0,4,2,0,0,79900,79900,0,"Talenan Kayu Jati Premium - Model Kunci<br><br/><br><br/>Talenan kayu terbuat dari pohon jati premium berbentuk persegi panjang seperti kunci<br><br/><br><br/>ukuran PxLxT : 36x11,5x2cm"
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4gwdlzp,Sendok aduk panjang kayu jati premium,Peralatan Masak Lainnya,Baru,5,1,6,3,2,0,35400,37900,7,Sendok aduk panjang kayu jati premium<br><br/><br><br/>dengan ukuran 20x3cm
579019292,nature_de_craft_46327,Nature de Craft,Pedagang,platinum,4gw9v8a,Basket Mendong Mix Sintetis,Dekorasi Rumah,Baru,0,0,1,1,0,0,237500,250000,5,"Basket Mendong Mix Sintetis  <br><br/>Ukuran (diameter x tinggi) : 26x26cm , 28x30cm , 32x36cm"
